disease_pair,correct_node,negative_samples,disease_1,disease_2,options_combined,text
"('oral cavity cancer', 'autoimmune hepatitis')",HLA-DQB1,"TTLL5, SAMM50, KAT2B, HOXD3",oral cavity cancer,autoimmune hepatitis," KAT2B, TTLL5, HLA-DQB1,  HOXD3,  SAMM50","Out of the given list, which Gene is associated with oral cavity cancer and autoimmune hepatitis. Given list is:  KAT2B, TTLL5, HLA-DQB1,  HOXD3,  SAMM50"
"('oral cavity cancer', 'oropharynx cancer')",HLA-DQB1,"CACNA1S, TNFSF15, GCKR, RAD51B",oral cavity cancer,oropharynx cancer," GCKR, HLA-DQB1, CACNA1S,  TNFSF15,  RAD51B","Out of the given list, which Gene is associated with oral cavity cancer and oropharynx cancer. Given list is:  GCKR, HLA-DQB1, CACNA1S,  TNFSF15,  RAD51B"
"('oral cavity cancer', 'nephrotic syndrome')",HLA-DQB1,"ARMS2, LOXL1, ACOXL, HLA-B",oral cavity cancer,nephrotic syndrome,"ARMS2, HLA-DQB1,  LOXL1,  HLA-B,  ACOXL","Out of the given list, which Gene is associated with oral cavity cancer and nephrotic syndrome. Given list is: ARMS2, HLA-DQB1,  LOXL1,  HLA-B,  ACOXL"
"('oral cavity cancer', 'rheumatic heart disease')",HLA-DQB1,"TNNT2, HLA-DQB1, HBB, ITPA",oral cavity cancer,rheumatic heart disease,"HLA-DQB1,  HBB, TNNT2,  ITPA,  HLA-DQB1","Out of the given list, which Gene is associated with oral cavity cancer and rheumatic heart disease. Given list is: HLA-DQB1,  HBB, TNNT2,  ITPA,  HLA-DQB1"
"('oral cavity cancer', 'pancreatic carcinoma')",CLPTM1L,"AKAP6, CASZ1, IL6, HERC2",oral cavity cancer,pancreatic carcinoma,"CLPTM1L,  CASZ1, AKAP6,  HERC2,  IL6","Out of the given list, which Gene is associated with oral cavity cancer and pancreatic carcinoma. Given list is: CLPTM1L,  CASZ1, AKAP6,  HERC2,  IL6"
"('immunoglobulin alpha deficiency', 'membranous glomerulonephritis')",HLA-DQA1,"HLA-DQB1, CRTC1, MYH7, TNRC6B",immunoglobulin alpha deficiency,membranous glomerulonephritis,"HLA-DQA1, HLA-DQB1,  MYH7,  TNRC6B,  CRTC1","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and membranous glomerulonephritis. Given list is: HLA-DQA1, HLA-DQB1,  MYH7,  TNRC6B,  CRTC1"
"('immunoglobulin alpha deficiency', 'autoimmune hepatitis')",HLA-DQA1,"HLA-DQA1, PRKAG2, PLG, SLC14A2",immunoglobulin alpha deficiency,autoimmune hepatitis," SLC14A2,  PRKAG2, HLA-DQA1, HLA-DQA1,  PLG","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and autoimmune hepatitis. Given list is:  SLC14A2,  PRKAG2, HLA-DQA1, HLA-DQA1,  PLG"
"('immunoglobulin alpha deficiency', 'collagenous colitis')",HLA-DQA1,"GATA3, CHEK2, SNTB1, HLA-DRB5",immunoglobulin alpha deficiency,collagenous colitis,"GATA3, HLA-DQA1,  SNTB1,  CHEK2,  HLA-DRB5","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and collagenous colitis. Given list is: GATA3, HLA-DQA1,  SNTB1,  CHEK2,  HLA-DRB5"
"('immunoglobulin alpha deficiency', 'cutaneous lupus erythematosus')",HLA-DQA1,"PINX1, DTNB, FER, PLA2R1",immunoglobulin alpha deficiency,cutaneous lupus erythematosus," PLA2R1,  DTNB,  FER, HLA-DQA1, PINX1","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and cutaneous lupus erythematosus. Given list is:  PLA2R1,  DTNB,  FER, HLA-DQA1, PINX1"
"('immunoglobulin alpha deficiency', 'cervix carcinoma')",HLA-DQA1,"HLA-DPB1, CLPTM1L, STAT3, ABO",immunoglobulin alpha deficiency,cervix carcinoma," CLPTM1L,  STAT3, HLA-DQA1,  ABO, HLA-DPB1","Out of the given list, which Gene is associated with immunoglobulin alpha deficiency and cervix carcinoma. Given list is:  CLPTM1L,  STAT3, HLA-DQA1,  ABO, HLA-DPB1"
"('myelodysplastic syndrome', 'psoriasis')",HLA-B,"VAV3, TERT, CLPTM1L, PTPN22",myelodysplastic syndrome,psoriasis,"VAV3,  TERT,  CLPTM1L,  PTPN22, HLA-B","Out of the given list, which Gene is associated with myelodysplastic syndrome and psoriasis. Given list is: VAV3,  TERT,  CLPTM1L,  PTPN22, HLA-B"
"('myelodysplastic syndrome', ""Takayasu's arteritis"")",HLA-B,"BTN3A1, CACNA1A, CACNA2D1, AKAP6",myelodysplastic syndrome,Takayasu's arteritis,"BTN3A1,  AKAP6,  CACNA2D1, HLA-B,  CACNA1A","Out of the given list, which Gene is associated with myelodysplastic syndrome and Takayasu's arteritis. Given list is: BTN3A1,  AKAP6,  CACNA2D1, HLA-B,  CACNA1A"
"('myelodysplastic syndrome', 'herpes zoster')",HLA-B,"ATP2B1, DTNB, SLC14A2, KALRN",myelodysplastic syndrome,herpes zoster," DTNB, HLA-B, ATP2B1,  SLC14A2,  KALRN","Out of the given list, which Gene is associated with myelodysplastic syndrome and herpes zoster. Given list is:  DTNB, HLA-B, ATP2B1,  SLC14A2,  KALRN"
"('myelodysplastic syndrome', 'allergic rhinitis')",HLA-B,"GSDMB, CHEK2, BTN3A1, ARMS2",myelodysplastic syndrome,allergic rhinitis," ARMS2,  CHEK2, HLA-B,  BTN3A1, GSDMB","Out of the given list, which Gene is associated with myelodysplastic syndrome and allergic rhinitis. Given list is:  ARMS2,  CHEK2, HLA-B,  BTN3A1, GSDMB"
"('myelodysplastic syndrome', 'diffuse large B-cell lymphoma')",HLA-B,"TMEM71, TDP2, HLA-DQA1, MIF",myelodysplastic syndrome,diffuse large B-cell lymphoma," MIF,  TDP2, TMEM71,  HLA-DQA1, HLA-B","Out of the given list, which Gene is associated with myelodysplastic syndrome and diffuse large B-cell lymphoma. Given list is:  MIF,  TDP2, TMEM71,  HLA-DQA1, HLA-B"
"('myelodysplastic syndrome', 'psoriatic arthritis')",HLA-B,"HLA-DQB1, MST1, HERC2, BTNL2",myelodysplastic syndrome,psoriatic arthritis," MST1,  BTNL2, HLA-B,  HERC2, HLA-DQB1","Out of the given list, which Gene is associated with myelodysplastic syndrome and psoriatic arthritis. Given list is:  MST1,  BTNL2, HLA-B,  HERC2, HLA-DQB1"
"('differentiated thyroid gland carcinoma', 'thyroid gland papillary carcinoma')",VAV3,"CHEK2, ITPA, PLG, CRTC1",differentiated thyroid gland carcinoma,thyroid gland papillary carcinoma," ITPA, CHEK2,  CRTC1,  PLG, VAV3","Out of the given list, which Gene is associated with differentiated thyroid gland carcinoma and thyroid gland papillary carcinoma. Given list is:  ITPA, CHEK2,  CRTC1,  PLG, VAV3"
"('differentiated thyroid gland carcinoma', 'hypothyroidism')",VAV3,"PINX1, HLA-DQA1, PCDH15, ERAP1",differentiated thyroid gland carcinoma,hypothyroidism," ERAP1,  HLA-DQA1, VAV3, PINX1,  PCDH15","Out of the given list, which Gene is associated with differentiated thyroid gland carcinoma and hypothyroidism. Given list is:  ERAP1,  HLA-DQA1, VAV3, PINX1,  PCDH15"
"(""Barrett's esophagus"", 'esophagus adenocarcinoma')",CRTC1,"HLA-B, MYBPC3, HLA-DQB1, CFH",Barrett's esophagus,esophagus adenocarcinoma," HLA-DQB1, CRTC1, HLA-B,  CFH,  MYBPC3","Out of the given list, which Gene is associated with Barrett's esophagus and esophagus adenocarcinoma. Given list is:  HLA-DQB1, CRTC1, HLA-B,  CFH,  MYBPC3"
"('ankylosing spondylitis', 'inflammatory bowel disease')",IL23R,"UCK2, LPP, YLPM1, DAB2IP",ankylosing spondylitis,inflammatory bowel disease," LPP, UCK2,  YLPM1,  DAB2IP, IL23R","Out of the given list, which Gene is associated with ankylosing spondylitis and inflammatory bowel disease. Given list is:  LPP, UCK2,  YLPM1,  DAB2IP, IL23R"
"('ankylosing spondylitis', 'ulcerative colitis')",IL23R,"SAMM50, KIT, PSCA, HLA-DQB1",ankylosing spondylitis,ulcerative colitis," KIT, SAMM50, IL23R,  PSCA,  HLA-DQB1","Out of the given list, which Gene is associated with ankylosing spondylitis and ulcerative colitis. Given list is:  KIT, SAMM50, IL23R,  PSCA,  HLA-DQB1"
"('ankylosing spondylitis', 'anterior uveitis')",ERAP1,"SYT14, XBP1, HNF1B, CFH",ankylosing spondylitis,anterior uveitis," CFH,  XBP1, ERAP1, SYT14,  HNF1B","Out of the given list, which Gene is associated with ankylosing spondylitis and anterior uveitis. Given list is:  CFH,  XBP1, ERAP1, SYT14,  HNF1B"
"('ankylosing spondylitis', ""Crohn's disease"")",IL23R,"EYA2, SLC2A9, TNRC18, HLA-DQB1",ankylosing spondylitis,Crohn's disease,"IL23R,  HLA-DQB1,  TNRC18, EYA2,  SLC2A9","Out of the given list, which Gene is associated with ankylosing spondylitis and Crohn's disease. Given list is: IL23R,  HLA-DQB1,  TNRC18, EYA2,  SLC2A9"
"('rheumatoid arthritis', 'myositis')",PTPN22,"BARD1, STAT3, C5AR1, PRKN",rheumatoid arthritis,myositis," STAT3, BARD1, PTPN22,  PRKN,  C5AR1","Out of the given list, which Gene is associated with rheumatoid arthritis and myositis. Given list is:  STAT3, BARD1, PTPN22,  PRKN,  C5AR1"
"('neuromyelitis optica', 'neurotic disorder')",TNXB,"TNRC18, CASZ1, PCDH7, GATA3",neuromyelitis optica,neurotic disorder,"TNRC18,  PCDH7,  CASZ1,  GATA3, TNXB","Out of the given list, which Gene is associated with neuromyelitis optica and neurotic disorder. Given list is: TNRC18,  PCDH7,  CASZ1,  GATA3, TNXB"
"('collagenous colitis', 'membranous glomerulonephritis')",HLA-DQA1,"PNPLA3, ATP2B1, PHACTR1, CASZ1",collagenous colitis,membranous glomerulonephritis," PHACTR1,  CASZ1, PNPLA3, HLA-DQA1,  ATP2B1","Out of the given list, which Gene is associated with collagenous colitis and membranous glomerulonephritis. Given list is:  PHACTR1,  CASZ1, PNPLA3, HLA-DQA1,  ATP2B1"
"('collagenous colitis', 'autoimmune hepatitis')",HLA-DQA1,"MST1, AKAP6, CACNA1D, NTM",collagenous colitis,autoimmune hepatitis," CACNA1D, HLA-DQA1,  AKAP6, MST1,  NTM","Out of the given list, which Gene is associated with collagenous colitis and autoimmune hepatitis. Given list is:  CACNA1D, HLA-DQA1,  AKAP6, MST1,  NTM"
"('collagenous colitis', 'immunoglobulin alpha deficiency')",HLA-DQA1,"RELN, EPAS1, KIT, MYH7",collagenous colitis,immunoglobulin alpha deficiency," EPAS1,  MYH7, RELN, HLA-DQA1,  KIT","Out of the given list, which Gene is associated with collagenous colitis and immunoglobulin alpha deficiency. Given list is:  EPAS1,  MYH7, RELN, HLA-DQA1,  KIT"
"('collagenous colitis', 'cutaneous lupus erythematosus')",HLA-DQA1,"HLA-DQA1, MYH7, TERT, BARD1",collagenous colitis,cutaneous lupus erythematosus," MYH7, HLA-DQA1, HLA-DQA1,  TERT,  BARD1","Out of the given list, which Gene is associated with collagenous colitis and cutaneous lupus erythematosus. Given list is:  MYH7, HLA-DQA1, HLA-DQA1,  TERT,  BARD1"
"('collagenous colitis', 'cervix carcinoma')",HLA-DQA1,"TERT, SLC17A4, TERT, NEURL1",collagenous colitis,cervix carcinoma," NEURL1, TERT, HLA-DQA1,  TERT,  SLC17A4","Out of the given list, which Gene is associated with collagenous colitis and cervix carcinoma. Given list is:  NEURL1, TERT, HLA-DQA1,  TERT,  SLC17A4"
"('dengue hemorrhagic fever', 'intracranial aneurysm')",RP1,"FADS1, TLR1, GNE, UCK2",dengue hemorrhagic fever,intracranial aneurysm,"RP1,  TLR1,  UCK2,  GNE, FADS1","Out of the given list, which Gene is associated with dengue hemorrhagic fever and intracranial aneurysm. Given list is: RP1,  TLR1,  UCK2,  GNE, FADS1"
"('dengue hemorrhagic fever', 'wheat allergy')",RBFOX1,"BABAM1, WNT4, PTPN22, EPDR1",dengue hemorrhagic fever,wheat allergy,"RBFOX1,  EPDR1, BABAM1,  PTPN22,  WNT4","Out of the given list, which Gene is associated with dengue hemorrhagic fever and wheat allergy. Given list is: RBFOX1,  EPDR1, BABAM1,  PTPN22,  WNT4"
"('neurotic disorder', 'neuromyelitis optica')",TNXB,"STAT4, LACC1, SFRP4, UMPS",neurotic disorder,neuromyelitis optica,"STAT4,  LACC1, TNXB,  UMPS,  SFRP4","Out of the given list, which Gene is associated with neurotic disorder and neuromyelitis optica. Given list is: STAT4,  LACC1, TNXB,  UMPS,  SFRP4"
"('head and neck cancer', 'liver cirrhosis')",CACNA2D1,"TFAP2B, CRTC1, USHBP1, TERT",head and neck cancer,liver cirrhosis,"TFAP2B,  TERT,  USHBP1, CACNA2D1,  CRTC1","Out of the given list, which Gene is associated with head and neck cancer and liver cirrhosis. Given list is: TFAP2B,  TERT,  USHBP1, CACNA2D1,  CRTC1"
"('head and neck cancer', 'uveal melanoma')",CACNA2D1,"TERT, SULT1B1, PSCA, ABO",head and neck cancer,uveal melanoma," ABO, CACNA2D1,  PSCA, TERT,  SULT1B1","Out of the given list, which Gene is associated with head and neck cancer and uveal melanoma. Given list is:  ABO, CACNA2D1,  PSCA, TERT,  SULT1B1"
"('age related macular degeneration', 'Kuhnt-Junius degeneration')",CFH,"VAV3, TP53, HLA-DQA1, UGT1A8",age related macular degeneration,Kuhnt-Junius degeneration,"VAV3,  UGT1A8, CFH,  TP53,  HLA-DQA1","Out of the given list, which Gene is associated with age related macular degeneration and Kuhnt-Junius degeneration. Given list is: VAV3,  UGT1A8, CFH,  TP53,  HLA-DQA1"
"('age related macular degeneration', 'kidney disease')",CFH,"C1orf127, HAAO, RAD51B, CASZ1",age related macular degeneration,kidney disease," RAD51B, CFH, C1orf127,  CASZ1,  HAAO","Out of the given list, which Gene is associated with age related macular degeneration and kidney disease. Given list is:  RAD51B, CFH, C1orf127,  CASZ1,  HAAO"
"('Kuhnt-Junius degeneration', 'age related macular degeneration')",CFH,"STAT4, LACC1, CACNA2D1, SFRP4",Kuhnt-Junius degeneration,age related macular degeneration,"CFH,  CACNA2D1, STAT4,  LACC1,  SFRP4","Out of the given list, which Gene is associated with Kuhnt-Junius degeneration and age related macular degeneration. Given list is: CFH,  CACNA2D1, STAT4,  LACC1,  SFRP4"
"('Kuhnt-Junius degeneration', 'kidney disease')",CFH,"TERT, MUC5B, PRKACB, CACNA2D1",Kuhnt-Junius degeneration,kidney disease," PRKACB,  MUC5B, TERT, CFH,  CACNA2D1","Out of the given list, which Gene is associated with Kuhnt-Junius degeneration and kidney disease. Given list is:  PRKACB,  MUC5B, TERT, CFH,  CACNA2D1"
"('lymphoma', 'hepatitis B')",HLA-DQB2,"PTPN22, YLPM1, MTTP, HAAO",lymphoma,hepatitis B,"HLA-DQB2,  YLPM1,  MTTP,  HAAO, PTPN22","Out of the given list, which Gene is associated with lymphoma and hepatitis B. Given list is: HLA-DQB2,  YLPM1,  MTTP,  HAAO, PTPN22"
"('herpes zoster', 'psoriasis')",HLA-B,"DNMT3A, HLA-DQB1, FAM227B, HOXD3",herpes zoster,psoriasis," HLA-DQB1,  HOXD3,  FAM227B, DNMT3A, HLA-B","Out of the given list, which Gene is associated with herpes zoster and psoriasis. Given list is:  HLA-DQB1,  HOXD3,  FAM227B, DNMT3A, HLA-B"
"('herpes zoster', ""Takayasu's arteritis"")",HLA-B,"PRKN, FAM227B, CSNK2B, FGFR2",herpes zoster,Takayasu's arteritis," FAM227B, PRKN,  CSNK2B, HLA-B,  FGFR2","Out of the given list, which Gene is associated with herpes zoster and Takayasu's arteritis. Given list is:  FAM227B, PRKN,  CSNK2B, HLA-B,  FGFR2"
"('herpes zoster', 'myelodysplastic syndrome')",HLA-B,"KITLG, AHR, PTPRD, TMEM71",herpes zoster,myelodysplastic syndrome,"HLA-B,  TMEM71, KITLG,  PTPRD,  AHR","Out of the given list, which Gene is associated with herpes zoster and myelodysplastic syndrome. Given list is: HLA-B,  TMEM71, KITLG,  PTPRD,  AHR"
"('herpes zoster', 'allergic rhinitis')",HLA-B,"IGF2BP2, CACNA2D1, HLA-B, CLPTM1L",herpes zoster,allergic rhinitis," HLA-B, HLA-B, IGF2BP2,  CLPTM1L,  CACNA2D1","Out of the given list, which Gene is associated with herpes zoster and allergic rhinitis. Given list is:  HLA-B, HLA-B, IGF2BP2,  CLPTM1L,  CACNA2D1"
"('herpes zoster', 'diffuse large B-cell lymphoma')",HLA-B,"SLC14A2, EYA2, ATXN2, POU5F1B",herpes zoster,diffuse large B-cell lymphoma,"HLA-B,  ATXN2, SLC14A2,  EYA2,  POU5F1B","Out of the given list, which Gene is associated with herpes zoster and diffuse large B-cell lymphoma. Given list is: HLA-B,  ATXN2, SLC14A2,  EYA2,  POU5F1B"
"('herpes zoster', 'psoriatic arthritis')",HLA-B,"CPS1, ATG5, ADGRV1, SULT1B1",herpes zoster,psoriatic arthritis,"HLA-B,  ADGRV1, CPS1,  SULT1B1,  ATG5","Out of the given list, which Gene is associated with herpes zoster and psoriatic arthritis. Given list is: HLA-B,  ADGRV1, CPS1,  SULT1B1,  ATG5"
"('duodenal ulcer', 'malaria')",ABO,"IGF1R, HLA-DQA1, GTF2I, USHBP1",duodenal ulcer,malaria,"IGF1R,  HLA-DQA1,  USHBP1, ABO,  GTF2I","Out of the given list, which Gene is associated with duodenal ulcer and malaria. Given list is: IGF1R,  HLA-DQA1,  USHBP1, ABO,  GTF2I"
"('duodenal ulcer', 'atrophic gastritis')",PSCA,"MST1, SCN1A, GATA3, SLC17A4",duodenal ulcer,atrophic gastritis," SLC17A4,  GATA3, MST1, PSCA,  SCN1A","Out of the given list, which Gene is associated with duodenal ulcer and atrophic gastritis. Given list is:  SLC17A4,  GATA3, MST1, PSCA,  SCN1A"
"('duodenal ulcer', 'pancreatic carcinoma')",ABO,"KALRN, CFH, STAT6, YLPM1",duodenal ulcer,pancreatic carcinoma," YLPM1,  CFH, ABO, KALRN,  STAT6","Out of the given list, which Gene is associated with duodenal ulcer and pancreatic carcinoma. Given list is:  YLPM1,  CFH, ABO, KALRN,  STAT6"
"('duodenal ulcer', 'gastric fundus cancer')",PSCA,"FBN1, BTC, CACNA1S, MUC5B",duodenal ulcer,gastric fundus cancer," CACNA1S,  MUC5B, FBN1, PSCA,  BTC","Out of the given list, which Gene is associated with duodenal ulcer and gastric fundus cancer. Given list is:  CACNA1S,  MUC5B, FBN1, PSCA,  BTC"
"('non-alcoholic steatohepatitis', 'non-alcoholic fatty liver disease')",PNPLA3,"HLA-DQB2, KALRN, DENND1A, ZFPM2",non-alcoholic steatohepatitis,non-alcoholic fatty liver disease,"HLA-DQB2,  ZFPM2,  KALRN, PNPLA3,  DENND1A","Out of the given list, which Gene is associated with non-alcoholic steatohepatitis and non-alcoholic fatty liver disease. Given list is: HLA-DQB2,  ZFPM2,  KALRN, PNPLA3,  DENND1A"
"('non-alcoholic steatohepatitis', 'liver cirrhosis')",PNPLA3,"FAM227B, AHR, SULT1B1, KIT",non-alcoholic steatohepatitis,liver cirrhosis,"PNPLA3,  SULT1B1,  KIT,  AHR, FAM227B","Out of the given list, which Gene is associated with non-alcoholic steatohepatitis and liver cirrhosis. Given list is: PNPLA3,  SULT1B1,  KIT,  AHR, FAM227B"
"('oropharynx cancer', 'autoimmune hepatitis')",HLA-DQB1,"C9, FBN1, TNXB, BTN3A1",oropharynx cancer,autoimmune hepatitis,"HLA-DQB1,  TNXB,  FBN1, C9,  BTN3A1","Out of the given list, which Gene is associated with oropharynx cancer and autoimmune hepatitis. Given list is: HLA-DQB1,  TNXB,  FBN1, C9,  BTN3A1"
"('oropharynx cancer', 'oral cavity cancer')",HLA-DQB1,"MYBPC3, KIF1B, DGKK, HLA-B",oropharynx cancer,oral cavity cancer,"MYBPC3,  KIF1B,  DGKK, HLA-DQB1,  HLA-B","Out of the given list, which Gene is associated with oropharynx cancer and oral cavity cancer. Given list is: MYBPC3,  KIF1B,  DGKK, HLA-DQB1,  HLA-B"
"('oropharynx cancer', 'nephrotic syndrome')",HLA-DQB1,"SLC2A9, FTO, RAD51B, FER",oropharynx cancer,nephrotic syndrome," FER, HLA-DQB1,  FTO, SLC2A9,  RAD51B","Out of the given list, which Gene is associated with oropharynx cancer and nephrotic syndrome. Given list is:  FER, HLA-DQB1,  FTO, SLC2A9,  RAD51B"
"('oropharynx cancer', 'rheumatic heart disease')",HLA-DQB1,"DENND1A, VRK2, CACNA1A, TERT",oropharynx cancer,rheumatic heart disease,"DENND1A, HLA-DQB1,  VRK2,  TERT,  CACNA1A","Out of the given list, which Gene is associated with oropharynx cancer and rheumatic heart disease. Given list is: DENND1A, HLA-DQB1,  VRK2,  TERT,  CACNA1A"
"('ulcerative colitis', 'inflammatory bowel disease')",IL23R,"SAMD9L, GATA3, DNMT3A, RAD51B",ulcerative colitis,inflammatory bowel disease,"SAMD9L, IL23R,  GATA3,  DNMT3A,  RAD51B","Out of the given list, which Gene is associated with ulcerative colitis and inflammatory bowel disease. Given list is: SAMD9L, IL23R,  GATA3,  DNMT3A,  RAD51B"
"('ulcerative colitis', 'ankylosing spondylitis')",IL23R,"SNTB1, MYH7, DTNB, ALDH1A2",ulcerative colitis,ankylosing spondylitis," ALDH1A2, IL23R,  DTNB, SNTB1,  MYH7","Out of the given list, which Gene is associated with ulcerative colitis and ankylosing spondylitis. Given list is:  ALDH1A2, IL23R,  DTNB, SNTB1,  MYH7"
"('ulcerative colitis', ""Crohn's disease"")",IL23R,"ZFHX3, EML4, OPTN, STN1",ulcerative colitis,Crohn's disease,"ZFHX3,  OPTN,  EML4, IL23R,  STN1","Out of the given list, which Gene is associated with ulcerative colitis and Crohn's disease. Given list is: ZFHX3,  OPTN,  EML4, IL23R,  STN1"
"('nephrotic syndrome', 'autoimmune hepatitis')",HLA-DQB1,"SLC2A9, TNIP1, CSNK2B, CACNA1C",nephrotic syndrome,autoimmune hepatitis," TNIP1,  CACNA1C, SLC2A9, HLA-DQB1,  CSNK2B","Out of the given list, which Gene is associated with nephrotic syndrome and autoimmune hepatitis. Given list is:  TNIP1,  CACNA1C, SLC2A9, HLA-DQB1,  CSNK2B"
"('nephrotic syndrome', 'oral cavity cancer')",HLA-DQB1,"PLG, SLC14A2, AHR, CRTC1",nephrotic syndrome,oral cavity cancer," CRTC1, PLG,  AHR,  SLC14A2, HLA-DQB1","Out of the given list, which Gene is associated with nephrotic syndrome and oral cavity cancer. Given list is:  CRTC1, PLG,  AHR,  SLC14A2, HLA-DQB1"
"('nephrotic syndrome', 'oropharynx cancer')",HLA-DQB1,"VAV3, PRKAG2, PNPLA3, SYT14",nephrotic syndrome,oropharynx cancer," PRKAG2,  SYT14, VAV3, HLA-DQB1,  PNPLA3","Out of the given list, which Gene is associated with nephrotic syndrome and oropharynx cancer. Given list is:  PRKAG2,  SYT14, VAV3, HLA-DQB1,  PNPLA3"
"('nephrotic syndrome', 'rheumatic heart disease')",HLA-DQB1,"GSDMB, KALRN, CRTC1, SNTB1",nephrotic syndrome,rheumatic heart disease,"GSDMB,  KALRN,  SNTB1, HLA-DQB1,  CRTC1","Out of the given list, which Gene is associated with nephrotic syndrome and rheumatic heart disease. Given list is: GSDMB,  KALRN,  SNTB1, HLA-DQB1,  CRTC1"
"('myositis', 'rheumatoid arthritis')",PTPN22,"RORA, HLA-B, TERT, C9",myositis,rheumatoid arthritis," C9, RORA,  TERT,  HLA-B, PTPN22","Out of the given list, which Gene is associated with myositis and rheumatoid arthritis. Given list is:  C9, RORA,  TERT,  HLA-B, PTPN22"
"('myositis', 'systemic scleroderma')",STAT4,"DMRT1, BTNL2, CLPTM1L, SLC2A9",myositis,systemic scleroderma," BTNL2, DMRT1, STAT4,  CLPTM1L,  SLC2A9","Out of the given list, which Gene is associated with myositis and systemic scleroderma. Given list is:  BTNL2, DMRT1, STAT4,  CLPTM1L,  SLC2A9"
"('myositis', ""Sjogren's syndrome"")",STAT4,"ACOXL, MORC4, FTO, TNXB",myositis,Sjogren's syndrome,"STAT4,  FTO, ACOXL,  MORC4,  TNXB","Out of the given list, which Gene is associated with myositis and Sjogren's syndrome. Given list is: STAT4,  FTO, ACOXL,  MORC4,  TNXB"
"('intracranial aneurysm', 'dengue hemorrhagic fever')",RP1,"IGF1R, DLEU7, ATG5, BABAM1",intracranial aneurysm,dengue hemorrhagic fever,"RP1, IGF1R,  BABAM1,  DLEU7,  ATG5","Out of the given list, which Gene is associated with intracranial aneurysm and dengue hemorrhagic fever. Given list is: RP1, IGF1R,  BABAM1,  DLEU7,  ATG5"
"('squamous cell carcinoma', 'estrogen-receptor negative breast cancer')",BRCA2,"UCK2, PNPLA3, RAD51B, RBFOX1",squamous cell carcinoma,estrogen-receptor negative breast cancer,"BRCA2,  RBFOX1, UCK2,  PNPLA3,  RAD51B","Out of the given list, which Gene is associated with squamous cell carcinoma and estrogen-receptor negative breast cancer. Given list is: BRCA2,  RBFOX1, UCK2,  PNPLA3,  RAD51B"
"('squamous cell carcinoma', 'lung squamous cell carcinoma')",BRCA2,"ALDH1A2, IL6, BTBD9, ARMS2",squamous cell carcinoma,lung squamous cell carcinoma," ARMS2, BRCA2,  BTBD9,  IL6, ALDH1A2","Out of the given list, which Gene is associated with squamous cell carcinoma and lung squamous cell carcinoma. Given list is:  ARMS2, BRCA2,  BTBD9,  IL6, ALDH1A2"
"('androgenic alopecia', 'mature B-cell neoplasm')",SLC14A2,"HLA-B, PHGDH, TM6SF2, TTLL5",androgenic alopecia,mature B-cell neoplasm," TM6SF2, HLA-B, SLC14A2,  PHGDH,  TTLL5","Out of the given list, which Gene is associated with androgenic alopecia and mature B-cell neoplasm. Given list is:  TM6SF2, HLA-B, SLC14A2,  PHGDH,  TTLL5"
"('androgenic alopecia', 'cocaine dependence')",SLC14A2,"GSDMB, PRKACB, ATXN2, PNPLA3",androgenic alopecia,cocaine dependence,"GSDMB, SLC14A2,  ATXN2,  PNPLA3,  PRKACB","Out of the given list, which Gene is associated with androgenic alopecia and cocaine dependence. Given list is: GSDMB, SLC14A2,  ATXN2,  PNPLA3,  PRKACB"
"('sclerosing cholangitis', 'endometrial cancer')",ATXN2,"PLA2G6, RP1, FADS2, VRK2",sclerosing cholangitis,endometrial cancer," FADS2,  RP1, ATXN2,  VRK2, PLA2G6","Out of the given list, which Gene is associated with sclerosing cholangitis and endometrial cancer. Given list is:  FADS2,  RP1, ATXN2,  VRK2, PLA2G6"
"('cocaine dependence', 'mature B-cell neoplasm')",SLC14A2,"ERAP1, TP63, CHST11, GSDMB",cocaine dependence,mature B-cell neoplasm," CHST11,  GSDMB, ERAP1,  TP63, SLC14A2","Out of the given list, which Gene is associated with cocaine dependence and mature B-cell neoplasm. Given list is:  CHST11,  GSDMB, ERAP1,  TP63, SLC14A2"
"('cocaine dependence', 'androgenic alopecia')",SLC14A2,"NEURL1, ADGRV1, ATG5, HLA-DPB1",cocaine dependence,androgenic alopecia," ATG5,  ADGRV1, NEURL1, SLC14A2,  HLA-DPB1","Out of the given list, which Gene is associated with cocaine dependence and androgenic alopecia. Given list is:  ATG5,  ADGRV1, NEURL1, SLC14A2,  HLA-DPB1"
"('epilepsy', 'focal epilepsy')",SCN1A,"HAAO, NEURL1, MYBPC3, CLDN14",epilepsy,focal epilepsy," NEURL1, SCN1A, HAAO,  CLDN14,  MYBPC3","Out of the given list, which Gene is associated with epilepsy and focal epilepsy. Given list is:  NEURL1, SCN1A, HAAO,  CLDN14,  MYBPC3"
"('myeloproliferative neoplasm', 'interstitial lung disease')",TERT,"UCK2, CLDN14, STAT3, LRMDA",myeloproliferative neoplasm,interstitial lung disease," LRMDA, TERT,  CLDN14, UCK2,  STAT3","Out of the given list, which Gene is associated with myeloproliferative neoplasm and interstitial lung disease. Given list is:  LRMDA, TERT,  CLDN14, UCK2,  STAT3"
